,facname,zipcode,boro,cd,latitude,longitude,geometry,index_right,PUMA,Shape_Leng,Shape_Area
588,MARINER'S HARBOR HOUSES CHILD HEALTH CLINIC,10303,STATEN ISLAND,501,40.6249221261,-74.1569455844,POINT (-74.15694409307656 40.62491389179207),22,3903,153890.524919,376477826.274
589,CYPRESS GARDEN CENTER FOR NURSING AND REHABILITATION,11354,QUEENS,407,40.7653627094,-73.8252938917,POINT (-73.8252924982327 40.76535443566448),43,4103,149451.567392,329873810.656
590,PARK GARDENS REHABILITATION AND NURSING CENTER LTHHCP,10471,BRONX,208,40.9106502992,-73.8969299985,POINT (-73.89692857297814 40.91064199984115),0,3701,53227.1136077,97928516.6801
591,NYS FAMILY COURT - QUEENS,11432,QUEENS,412,40.7021772778,-73.8028089514,POINT (-73.80280756857724 40.70216901701443),52,4112,72793.6040684,260049220.98
592,BETH ISRAEL MEDICAL CENTER - HH CM,10003,MANHATTAN,106,40.7341582587,-73.9826506792,POINT (-73.98264923595926 40.73414999710227),17,3808,43083.5505189,44952037.8009
593,QUEENS COUNTY NEUROPSYCHIATRIC INSTITUTE INC,11372,QUEENS,403,40.7468643752,-73.893860044,POINT (-73.89385862953911 40.7468561089375),49,4109,95211.0194607,167050353.269
594,AMUDIM COMMUNITY RESOURCES INC,10004,MANHATTAN,101,40.7053006683,-74.0142579112,POINT (-74.01425646039537 40.70529241413821),19,3810,122526.958548,81024704.0028
595,BRONX MEDICAL AND WELLNESS CENTER,10452,BRONX,204,40.8364311887,-73.9227285415,POINT (-73.92272711260516 40.83642290452585),7,3708,35002.7055809,55881067.7537
596,LORRAINE MONTENEGRO WOMEN/CHILDREN IR,10455,BRONX,201,40.8180183752,-73.9027807811,POINT (-73.90277935936346 40.81801009463578),9,3710,90067.9543636,137760289.541
597,EPISCOPAL HEALTH SERVICES INC,11435,QUEENS,408,40.7066827068,-73.8074447925,POINT (-73.80744340861905 40.70667444483079),52,4112,72793.6040684,260049220.98
598,"FOUNTAIN HOUSE, INC.",10036,MANHATTAN,104,40.7622458625,-73.9912176988,POINT (-73.99121625247182 40.7622375962876),16,3807,71863.8360436,85622064.5857
599,FLUSHING HOSPITAL MEDICAL CENTER,11355,QUEENS,407,40.755531,-73.815475,POINT (-73.81547360987508 40.75552272872582),43,4103,149451.567392,329873810.656
600,CREEDMOOR ATC SRH,11427,QUEENS,413,40.7370640436,-73.7289745333,POINT (-73.72897317182445 40.73705577252924),45,4105,206027.45579,550135981.616
601,NEXT STEPS NORTH OP,10461,BRONX,211,40.8459085674,-73.8407624202,POINT (-73.84076101695329 40.84590027890851),3,3704,47970.2030233,106216908.278
602,BRONXCHESTER HOME TRAINING,10461,BRONX,211,40.847941779,-73.842849849,POINT (-73.84284844459469 40.84793348997203),3,3704,47970.2030233,106216908.278
603,HERBERT H. LEHMAN HIGH SCHOOL,10461,BRONX,210,40.840576,-73.838272,POINT (-73.83827059826389 40.84056771245018),2,3703,305269.138803,267643637.839
604,PS 279,10453,BRONX,205,40.85468711,-73.9050121938,POINT (-73.90501076953794 40.85467882279917),6,3707,37374.595308,42281071.5105
605,CHARLES B WANG COMMUNITY HEALTH CENTER INC,10013,MANHATTAN,101,40.7173131048,-73.9999338596,POINT (-73.99993241253777 40.7173048471199),18,3809,36351.6176183,48695493.6207
606,PS 192/PS 325,10031,MANHATTAN,109,40.8209927521,-73.9530691922,POINT (-73.95306775421905 40.82098447221554),11,3802,37927.824564,46903009.3879
607,QUEENS HOSPITAL CENTER ADULT MENTAL HEALTH CLINIC,11432,QUEENS,408,40.7169307215,-73.8042620847,POINT (-73.8042607004725 40.71692245766096),46,4106,79842.9340986,207308619.71
608,MOUNT SINAI MOBILE MAMMOGRAPHY VAN,10029,MANHATTAN,111,40.7908729275,-73.9519844144,POINT (-73.9519829784732 40.79086465359958),13,3804,62599.5024685,64612123.1374
609,HARLEM CENTER FOR NURSING AND REHABILITATION,10037,MANHATTAN,110,40.8150159427,-73.9375448313,POINT (-73.93754339885797 40.81500766406396),12,3803,38111.6886704,39843953.7438
610,SCHOOL RESPONSE TEAM,10011,MANHATTAN,105,40.7388904778,-73.995180139,POINT (-73.99517869153827 40.7388822158381),16,3807,71863.8360436,85622064.5857
611,THE CHILD CENTER OF NY INC,11434,QUEENS,412,40.684533524,-73.7922755954,POINT (-73.79227421634754 40.68452526538479),52,4112,72793.6040684,260049220.98
612,MAIN STREET RADIOLOGY AT BAYSIDE,11361,QUEENS,411,40.7572577321,-73.7826552758,POINT (-73.78265389656706 40.75724945849132),44,4104,104978.089545,260047824.698
613,NYU LANGONE AMBULATORY SURGERY CENTER,10002,MANHATTAN,103,40.7170533032,-73.9857351966,POINT (-73.98573375427713 40.71704504496641),18,3809,36351.6176183,48695493.6207
614,GREENWICH HOUSE INC,10001,MANHATTAN,105,40.7457482807,-73.9922994817,POINT (-73.99229803604484 40.74574001761823),16,3807,71863.8360436,85622064.5857
615,GETTING OUT AND STAYING OUT INC,10029,MANHATTAN,111,40.8000207542,-73.9442883533,POINT (-73.94428691955868 40.80001247835705),13,3804,62599.5024685,64612123.1374
616,MAIMONIDES ADULT AND PEDIATRIC CARE NEWKIRK AVENUE,11226,BROOKLYN,314,40.635585755,-73.9638310381,POINT (-73.96382960802829 40.63557751264555),37,4015,50007.9713088,81045770.1741
617,NYU LANGONE ORTHOPEDIC HOSPITAL,10003,MANHATTAN,106,40.7343894295,-73.9829712445,POINT (-73.982969802375 40.73438116843462),17,3808,43083.5505189,44952037.8009
618,STUYVESANT HEIGHTS DIALYSIS,11233,BROOKLYN,316,40.676425,-73.921122,POINT (-73.92112058044056 40.676416747233),29,4007,44860.7781372,72205366.5338
619,BETH ISRAEL MEDICAL CENTER,10027,MANHATTAN,110,40.8081120957,-73.9474062802,POINT (-73.94740484447306 40.80810381854629),12,3803,38111.6886704,39843953.7438
620,NYU LANGONE HEALTH-COBBLE HILL,11201,BROOKLYN,306,40.6900138266,-73.9975410068,POINT (-73.99753956192859 40.69000557504047),27,4005,95462.4834828,114514600.094
621,BEACON REHABILITATION AND NURSING CENTER,11694,QUEENS,414,40.578985648,-73.833253471,POINT (-73.8332520860634 40.5789774119622),54,4114,402487.073726,310522670.444
622,SAFE FOUNDATION OP,11223,BROOKLYN,315,40.5925836398,-73.9735577054,POINT (-73.97355627523905 40.59257540575265),40,4018,76220.7229706,96030474.3336
623,CENTER FOR ALTERNATIVE SENTENCING AND EMPLOYMENT SERVICES IN,10027,MANHATTAN,110,40.8087532068,-73.9489282354,POINT (-73.94892679954911 40.808744929886),12,3803,38111.6886704,39843953.7438
624,WILLIAMSBURG FAMILY HEALTH CENTER,11249,BROOKLYN,301,40.7076785847,-73.9646894695,POINT (-73.96468803478081 40.70767032846541),23,4001,73897.4959714,114906677.762
625,NEW YORK MEDICAL AND DIAGNOSTIC CENTER,11415,QUEENS,409,40.7131037425,-73.8301758639,POINT (-73.83017447127422 40.71309547949111),51,4111,56320.396492,132524480.546
626,PARCARE COMMUNITY HEALTH NETWORK,11205,BROOKLYN,303,40.6967040769,-73.9592539402,POINT (-73.95925250722162 40.6966958218614),25,4003,44724.5004612,64036724.4504
627,VINCENT P. DOLE CLINIC,11215,BROOKLYN,306,40.6722319633,-73.9968962084,POINT (-73.99689476519397 40.6722237139787),27,4005,95462.4834828,114514600.094
628,MOUNT SINAI BROOKLYN,11234,BROOKLYN,318,40.6187186871,-73.9429731641,POINT (-73.94297174140166 40.61871044706271),31,4009,368930.937178,343640810.866
629,"CARING HOSPICE SERVICES OF NEW YORK, LLC",11229,BROOKLYN,315,40.6011079132,-73.9375872379,POINT (-73.93758581809519 40.60109967611969),38,4016,109480.188237,120716882.065
630,QUEENS MID-CHILDHOOD CLINIC,11426,QUEENS,413,40.7456872382,-73.7257054333,POINT (-73.72570407345695 40.74567896500677),45,4105,206027.45579,550135981.616
631,FOUNTAIN HOUSE BRONX PYSCHOSOCIAL CLUBHOUSE,10451,BRONX,204,40.8191359635,-73.9278929769,POINT (-73.92789154700638 40.81912768387976),7,3708,35002.7055809,55881067.7537
632,RAMON VELEZ RECOVERY CENTER OTP,10457,BRONX,205,40.846125658,-73.9043135475,POINT (-73.90431212301125 40.84611737191429),6,3707,37374.595308,42281071.5105
633,WOODSIDE HOUSES CHILD HEALTH CENTER,11377,QUEENS,401,40.753465,-73.910857,POINT (-73.91085558000573 40.75345673284073),41,4101,76015.2039665,143819416.07
634,HUDSON SPECIALTY SURGERY CENTER,10001,MANHATTAN,104,40.7521186278,-73.999841468,POINT (-73.99984001885541 40.75211036336427),16,3807,71863.8360436,85622064.5857
635,MONROE ACADEMY CAMPUS,10456,BRONX,203,40.83136,-73.899719,POINT (-73.89971757815825 40.83135171580192),4,3705,68697.5999192,122483690.262
636,NORTH CENTRAL BRONX HOSPITAL,10467,BRONX,207,40.880512,-73.881538,POINT (-73.88153658074312 40.88050370600432),5,3706,51826.0737093,43886930.6821
637,HSS WEST SIDE OUTPATIENT CENTER,10019,MANHATTAN,104,40.7710237189,-73.9916038179,POINT (-73.99160237062631 40.77101545051188),16,3807,71863.8360436,85622064.5857
638,CENTER FOR ALTERNATIVE SENTENCING AND EMPLOYMENT SERVICES IN,11216,BROOKLYN,303,40.6865666391,-73.9453310797,POINT (-73.94532965230198 40.68655838610774),25,4003,44724.5004612,64036724.4504
639,ST. DOMINIC'S-BRONX -NON MEDICAD CC,10459,BRONX,202,40.8194953919,-73.9009221497,POINT (-73.9009207283523 40.81948711149589),9,3710,90067.9543636,137760289.541
640,POSTGRADUATE CENTER FOR MENTAL HEALTH - HH NON - MEDICAID CM,10016,MANHATTAN,106,40.7464592407,-73.9783381798,POINT (-73.97833673815022 40.74645097703698),17,3808,43083.5505189,44952037.8009
641,PARENT RESOURCE CENTER,10314,STATEN ISLAND,502,40.5764165194,-74.166796369,POINT (-74.16679487680018 40.57640829586092),21,3902,153372.622901,675481898.963
642,RALPH LAUREN CENTER FOR CANCER CARE AND PREVENTION,10035,MANHATTAN,111,40.8045461157,-73.9408963346,POINT (-73.94089490073996 40.80453783905058),13,3804,62599.5024685,64612123.1374
643,HSS SPINE THERAPY CENTER,10021,MANHATTAN,108,40.7697391649,-73.95398303,POINT (-73.95398159566166 40.76973089571207),14,3805,54449.5033787,55222267.9563
644,MORRIS HEIGHTS AT WALTON AVENUE,10453,BRONX,205,40.8586764486,-73.9029213604,POINT (-73.90291993582872 40.85866816010493),6,3707,37374.595308,42281071.5105
645,SBH HEALTH SYSTEM BEHAVIORAL HEALTH SOUTH,10451,BRONX,201,40.816552296,-73.9206644197,POINT (-73.9206629924559 40.81654401619348),9,3710,90067.9543636,137760289.541
646,HEBREW HOME FOR THE AGED AT RIVERDALE,10471,BRONX,208,40.9101992078,-73.9087278669,POINT (-73.90872643807046 40.91019090957481),0,3701,53227.1136077,97928516.6801
647,LENOX HILL NEIGHBORHOOD HOUSE INC.,10029,MANHATTAN,111,40.7897283402,-73.947709262,POINT (-73.94770782757621 40.78972006684734),13,3804,62599.5024685,64612123.1374
648,FAMILY RESOURCE CENTER - MANHATTAN ZONE 3,10027,MANHATTAN,110,40.8067974275,-73.9424189901,POINT (-73.94241755610513 40.80678915004869),12,3803,38111.6886704,39843953.7438
649,SAINTS JOACHIM & ANNE NURSING AND REHABILITATION CENTER,11224,BROOKLYN,313,40.572459782,-73.9932142315,POINT (-73.99321279569816 40.57245155251556),40,4018,76220.7229706,96030474.3336
650,NY DIVISION - PAYNE WHITNEY PH PROGRAM,10065,MANHATTAN,108,40.7647207846,-73.9539186888,POINT (-73.95391725334738 40.76471251615989),14,3805,54449.5033787,55222267.9563
651,PS 155-WILLIAM PACCA,10035,MANHATTAN,111,40.797507279,-73.9361423421,POINT (-73.9361409109521 40.79749900411687),13,3804,62599.5024685,64612123.1374
652,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,11231,BROOKLYN,306,40.6791372427,-74.0094586246,POINT (-74.00945717716944 40.67912899299847),27,4005,95462.4834828,114514600.094
653,BENJAMIN BANNEKER ACADEMY,11205,BROOKLYN,302,40.6954595281,-73.9687740089,POINT (-73.96877257326007 40.69545127352571),26,4004,73010.0956282,86682052.0213
654,WOODHULL MEDICAL & MH CTR-HHC OP,11206,BROOKLYN,303,40.6995762326,-73.9423880587,POINT (-73.94238663144121 40.69956797649719),24,4002,44917.4130232,70686985.4608
655,MIH EXPERIENCE OP,10040,MANHATTAN,112,40.8600801851,-73.9305841788,POINT (-73.93058274515451 40.86007189763881),10,3801,62589.0551493,81247268.6263
656,MOSHOLU PARKWAY NURSING & REHABILITATION CENTER,10467,BRONX,207,40.8785151339,-73.8742533223,POINT (-73.87425190642787 40.87850684010349),5,3706,51826.0737093,43886930.6821
657,"SAMARITAN DAYTOP VILLAGE, INC. OTP 1",11435,QUEENS,408,40.7083599923,-73.8187369037,POINT (-73.81873551496416 40.70835173026536),46,4106,79842.9340986,207308619.71
658,"RUTLAND NURSING HOME, INC.",11203,BROOKLYN,309,40.659394489,-73.9337540142,POINT (-73.93375259198851 40.65938624069474),33,4011,34953.4245338,47617950.8156
659,ADULT HOMES - COURT ORDERED - ASSESSMENT SERVICES,10461,BRONX,210,40.8376573975,-73.8459669757,POINT (-73.84596557103926 40.8376491115213),8,3709,73288.7773801,124117768.897
660,"BAILEY HOUSE, INC",10035,MANHATTAN,111,40.8025767954,-73.9404071764,POINT (-73.94040574289396 40.80256851948058),13,3804,62599.5024685,64612123.1374
661,BROOKDALE HOSPITAL MMD,11213,BROOKLYN,303,40.6784396607,-73.937367399,POINT (-73.93736597431931 40.67843140898096),28,4006,42559.3069581,61860727.1531
662,SHEEPSHEAD BAY SURGERY CENTER,11229,BROOKLYN,315,40.6062401897,-73.9523472948,POINT (-73.95234586956066 40.60623195218505),38,4016,109480.188237,120716882.065
663,SIDNEY KIMMEL CENTER,10065,MANHATTAN,108,40.7657282846,-73.9583009843,POINT (-73.95829954755553 40.76572001541125),14,3805,54449.5033787,55222267.9563
664,NORTH CENTRAL BRONX HOSPITAL INPATIENT PSYCHIATRIC UNIT,10467,BRONX,207,40.8804599371,-73.881092752,POINT (-73.88109133304263 40.88045164388618),5,3706,51826.0737093,43886930.6821
665,SINGLE PARENT RESOURCE CENTER INC,10017,MANHATTAN,106,40.7518545634,-73.9717941386,POINT (-73.97179269841139 40.75184629800066),17,3808,43083.5505189,44952037.8009
666,MENTAL HEALTH PROVIDERS OF WESTERN QUEENS INC,11377,QUEENS,402,40.7444444238,-73.9028158648,POINT (-73.90281444758374 40.74443615760951),49,4109,95211.0194607,167050353.269
667,CHOICES WOMEN'S MEDICAL CENTER INC,11435,QUEENS,412,40.7015393126,-73.8065939148,POINT (-73.80659253028773 40.70153105117619),52,4112,72793.6040684,260049220.98
668,WELLNESS CENTER MENTAL HEALTH CLINIC,10301,STATEN ISLAND,501,40.639312204,-74.0760933416,POINT (-74.07609187533721 40.63930396440894),22,3903,153890.524919,376477826.274
669,NORTH QUEENS SURGICAL CENTER,11361,QUEENS,411,40.7548831093,-73.782471361,POINT (-73.78246998144478 40.75487483747246),44,4104,104978.089545,260047824.698
670,WEST FARMS DIALYSIS,10460,BRONX,209,40.8401553634,-73.8668343532,POINT (-73.86683294147009 40.84014707745347),8,3709,73288.7773801,124117768.897
671,JBFCS MADELEINE BORG BRONX CONSULTATION CENTER,10467,BRONX,211,40.8593504689,-73.8653090538,POINT (-73.86530764130313 40.8593421788871),3,3704,47970.2030233,106216908.278
672,MORNINGSIDE NURSING AND REHABILITATION CENTER,10461,BRONX,211,40.8566140105,-73.8594853876,POINT (-73.85948397800706 40.85660572078581),3,3704,47970.2030233,106216908.278
673,NYC-HHC QUEENS HOSPITAL CENTER ACT II,11432,QUEENS,408,40.7169307215,-73.8042620847,POINT (-73.8042607004725 40.71692245766096),46,4106,79842.9340986,207308619.71
674,MAIMONIDES ADULT/PED DENTAL CENTER,11219,BROOKLYN,312,40.6381241093,-73.9885302509,POINT (-73.98852881283355 40.63811586727861),36,4014,51089.0682127,87680448.1856
675,THE EPILEPSY INSTITUTE,10006,MANHATTAN,101,40.7073242627,-74.0126547432,POINT (-74.01265329276818 40.70731600733779),19,3810,122526.958548,81024704.0028
676,THE ENDOSCOPY CENTER OF QUEENS,11105,QUEENS,401,40.7736267639,-73.9132975191,POINT (-73.91329609699153 40.77361849178028),41,4101,76015.2039665,143819416.07
677,SEGUNDO RUIZ BELVIS D & T CENTER,10454,BRONX,201,40.8101365031,-73.915787854,POINT (-73.9157864281072 40.81012822455574),9,3710,90067.9543636,137760289.541
678,NEW YORK AND PRESBYTERIAN HOSPITAL,10021,MANHATTAN,108,40.7656836659,-73.9541031522,POINT (-73.95410171694698 40.76567539796915),14,3805,54449.5033787,55222267.9563
679,MONTEFIORE MEDICAL CENTER,10470,BRONX,212,40.9003108992,-73.8577551027,POINT (-73.8577536907751 40.90030260086445),1,3702,106167.592328,188993662.687
680,URBAN PATHWAYS INC,10018,MANHATTAN,104,40.7550289304,-73.9918013561,POINT (-73.99179990934141 40.7550206647926),16,3807,71863.8360436,85622064.5857
681,SUSAN E. WAGNER HIGH SCHOOL,10314,STATEN ISLAND,502,40.5973549812,-74.125124622,POINT (-74.1251231419064 40.59734675197666),21,3902,153372.622901,675481898.963
682,THE OUTREACH PROJECT OP,11418,QUEENS,409,40.7002527975,-73.8319922886,POINT (-73.83199089746856 40.700244537002),51,4111,56320.396492,132524480.546
683,FIRST MEDCARE PRIMARY CARE CENTER - SCHOOL-BASED MOBILE DENTAL EQUIPMENT CLINIC,11236,BROOKLYN,318,40.6391537923,-73.9081482836,POINT (-73.9081468709585 40.63914554679863),31,4009,368930.937178,343640810.866
684,NEW ALTERNATIVES FOR CHILDREN INC,10010,MANHATTAN,105,40.7442867473,-73.9907410423,POINT (-73.9907395962414 40.74427848418494),16,3807,71863.8360436,85622064.5857
685,HEALTH CENTER AT GUNHILL,10469,BRONX,212,40.8742814353,-73.8576616563,POINT (-73.85766024502293 40.87427314216688),1,3702,106167.592328,188993662.687
686,NYP/QUEENS EYE CARE CENTER,11365,QUEENS,411,40.7391154358,-73.7949408037,POINT (-73.79493942117504 40.73910716706852),44,4104,104978.089545,260047824.698
687,"FUND FOR THE CITY OF NEW YORK, INC.",10013,MANHATTAN,102,40.7241204919,-74.0051430086,POINT (-74.00514155936028 40.72411223307574),19,3810,122526.958548,81024704.0028
688,PS 333/335,10459,BRONX,202,40.8201143051,-73.898439299,POINT (-73.89843787903287 40.82010602312233),9,3710,90067.9543636,137760289.541
689,AMERICARE CERTIFIED SPECIAL SERVICES INC,11234,BROOKLYN,318,40.6083633349,-73.9156681653,POINT (-73.91566675181782 40.60835509576757),31,4009,368930.937178,343640810.866
690,UNION SQUARE EYE CARE - HARLEM,10035,MANHATTAN,111,40.8014482069,-73.9434575843,POINT (-73.94345615028425 40.80143993065951),13,3804,62599.5024685,64612123.1374
691,FAMILY HEALTH CENTER BUSHWICK HIGH SCHOOL,11237,BROOKLYN,304,40.6968129782,-73.9118467055,POINT (-73.91184528831334 40.69680472182576),24,4002,44917.4130232,70686985.4608
692,PROJECT RENEWAL CHEMICAL DEPENDENCE OP,10014,MANHATTAN,102,40.7282579834,-74.0047930649,POINT (-74.0047916163177 40.72824972397571),19,3810,122526.958548,81024704.0028
693,DR SUSAN SMITH MCKINNEY NURSING AND REHABILITATION CENTER,11203,BROOKLYN,309,40.6595889889,-73.9403032808,POINT (-73.94030185700564 40.65958074022565),33,4011,34953.4245338,47617950.8156
694,MOSHENYAT GASTROENTEROLOGY CENTER,11230,BROOKLYN,314,40.6141627194,-73.9546148561,POINT (-73.95461343057795 40.61415448098124),37,4015,50007.9713088,81045770.1741
695,PS 48,10474,BRONX,202,40.8141155933,-73.8868657816,POINT (-73.88686436509218 40.81410731325944),9,3710,90067.9543636,137760289.541
696,SOUTH BROOKLYN ENDOSCOPY CENTER,11204,BROOKLYN,311,40.6077829745,-73.9801906368,POINT (-73.98018920301467 40.60777473811068),39,4017,48986.1529273,103016112.076
697,RICHMOND UNIVERSITY MEDICAL CENTER OP2,10310,STATEN ISLAND,501,40.6357074761,-74.1059022372,POINT (-74.10590076144246 40.6356992387176),22,3903,153890.524919,376477826.274
698,SUN RIVER HEALTH THE HUB,10455,BRONX,201,40.8155242621,-73.9151836724,POINT (-73.91518224685608 40.81551598276675),9,3710,90067.9543636,137760289.541
699,"FEDCARE, INC.",10019,MANHATTAN,104,40.7634939386,-73.9876002389,POINT (-73.98759879263663 40.76348567150579),16,3807,71863.8360436,85622064.5857
700,"CARNEGIE HILL INSTITUTE, INC",10128,MANHATTAN,108,40.7835118351,-73.9538095362,POINT (-73.95380810002941 40.78350356350541),14,3805,54449.5033787,55222267.9563
701,SPOP MENTAL HEALTH CLINIC,10024,MANHATTAN,107,40.7920458435,-73.9760240861,POINT (-73.97602264231401 40.79203757048582),15,3806,47538.4259936,88497862.2383
702,THE SAMARITANS OF NEW YORK INC,10010,MANHATTAN,106,40.7388086355,-73.9865091502,POINT (-73.98650770600426 40.73880037357941),17,3808,43083.5505189,44952037.8009
703,PREMIUM HEALTH WOMEN'S HEALTH CENTER,11204,BROOKLYN,312,40.6329923072,-73.983749503,POINT (-73.98374806650101 40.63298406539698),36,4014,51089.0682127,87680448.1856
704,URBAN PATHWAYS INC.,10018,MANHATTAN,104,40.7550289304,-73.9918013561,POINT (-73.99179990934141 40.7550206647926),16,3807,71863.8360436,85622064.5857
705,HELP ONE,11207,BROOKLYN,305,40.6674180205,-73.8999338421,POINT (-73.89993242981025 40.66740976985563),29,4007,44860.7781372,72205366.5338
706,QUEENS HOSPITAL CENTER CHILD & ADOLESCENT OPD,11432,QUEENS,408,40.7169307215,-73.8042620847,POINT (-73.8042607004725 40.71692245766096),46,4106,79842.9340986,207308619.71
707,LONG ISLAND CITY HIGH SCHOOL,11106,QUEENS,401,40.7655225951,-73.9331055026,POINT (-73.93310407443721 40.76551432552813),41,4101,76015.2039665,143819416.07
708,ONE FORDHAM PLAZA,10458,BRONX,206,40.860481,-73.889351,POINT (-73.8893495799508 40.86047271085824),4,3705,68697.5999192,122483690.262
709,ELMHURST HOSPITAL OP,11373,QUEENS,404,40.7450800085,-73.8856682617,POINT (-73.88566684916763 40.74507174160429),47,4107,100417.206182,107515663.696
710,"SAMARITAN DAYTOP VILLAGE, INC. SRR",11435,QUEENS,408,40.7083599923,-73.8187369037,POINT (-73.81873551496416 40.70835173026536),46,4106,79842.9340986,207308619.71
711,JEWISH CHILD CARE ASSOCIATION OF NEW YORK,11210,BROOKLYN,314,40.6299719905,-73.9487858711,POINT (-73.94878444605249 40.62996374904409),37,4015,50007.9713088,81045770.1741
712,NYC-HHC QUEENS HOSPITAL CENTER - HH NONMED CM,11432,QUEENS,408,40.7169307215,-73.8042620847,POINT (-73.8042607004725 40.71692245766096),46,4106,79842.9340986,207308619.71
713,NYSARC INC NEW YORK CITY CHAPTER,10038,MANHATTAN,101,40.7075364844,-74.0073605155,POINT (-74.00735906700289 40.70752822816672),19,3810,122526.958548,81024704.0028
714,DR. JACQUELINE PEEK-DAVIS SCHOOL/RONALD EDMONDS LEARNING CENTER II,11233,BROOKLYN,316,40.6730484741,-73.919990262,POINT (-73.91998884397205 40.67304022300925),29,4007,44860.7781372,72205366.5338
715,WCIMA AT PAYSON HOUSE,10021,MANHATTAN,108,40.7660772075,-73.9549725679,POINT (-73.95497113199586 40.76606893891584),14,3805,54449.5033787,55222267.9563
716,BETH ISRAEL MED CENTER 2-C,10010,MANHATTAN,106,40.7391081148,-73.9803445851,POINT (-73.98034314301535 40.73909985241804),17,3808,43083.5505189,44952037.8009
717,THE CHILDRENS AID SOCIETY,10027,MANHATTAN,110,40.8063823811,-73.9429076563,POINT (-73.94290622233163 40.80637410393913),12,3803,38111.6886704,39843953.7438
718,JGB REHABILITATION CORP,10023,MANHATTAN,107,40.7742797867,-73.9880444854,POINT (-73.9880430380212 40.77427151698748),15,3806,47538.4259936,88497862.2383
719,VISITING NURSE SERVICE OF NEW YORK HOMECARE II,11229,BROOKLYN,315,40.6093675518,-73.958867525,POINT (-73.95886609853022 40.60935931328854),38,4016,109480.188237,120716882.065
720,AHAVA MEDICAL AND REHABILITATION CENTER,11206,BROOKLYN,304,40.7006508616,-73.9405022464,POINT (-73.94050081862002 40.70064260515293),24,4002,44917.4130232,70686985.4608
721,ROBERTO CLEMENTE FAMILY GUIDANCE CENTER,10009,MANHATTAN,103,40.7288021112,-73.9792838891,POINT (-73.9792824482965 40.72879385096532),18,3809,36351.6176183,48695493.6207
722,"QUEENS ENDOSCOPY ASC, LLC",11358,QUEENS,407,40.773457,-73.792709,POINT (-73.79270761594537 40.77344872456614),44,4104,104978.089545,260047824.698
723,GOUVERNEUR CLINIC,10002,MANHATTAN,103,40.7183430069,-73.9886358447,POINT (-73.98863440195105 40.71833474871114),18,3809,36351.6176183,48695493.6207
724,KINGSBORO ATC MSW IP,11221,BROOKLYN,303,40.689981888,-73.9288059549,POINT (-73.92880453274589 40.6899736331307),25,4003,44724.5004612,64036724.4504
725,MORRIS HEIGHTS HEALTH CENTER MOBILE VAN,10034,MANHATTAN,112,40.863728,-73.916962,POINT (-73.91696057178159 40.86371971088749),10,3801,62589.0551493,81247268.6263
726,SUFFOLK OUTREACH CENTER OP,11435,QUEENS,408,40.7083599923,-73.8187369037,POINT (-73.81873551496416 40.70835173026536),46,4106,79842.9340986,207308619.71
727,UPACA 6 (SITE 6),10035,MANHATTAN,111,40.8009949447,-73.9402719243,POINT (-73.94027049162908 40.80098666874668),13,3804,62599.5024685,64612123.1374
728,FRANK J. MACCHIAROLA EDUCATIONAL COMPLEX,11235,BROOKLYN,315,40.5934971634,-73.9367095865,POINT (-73.93670816779361 40.59348892795092),38,4016,109480.188237,120716882.065
729,ALBERT TUITT EDUCATIONAL ACADEMY,10466,BRONX,212,40.888220095,-73.8526690893,POINT (-73.85266768011546 40.88821179888354),1,3702,106167.592328,188993662.687
730,FOUR SEASONS NURSING AND REHABILITATION CERTIFIED HOME HEALTH AGENCY,11236,BROOKLYN,318,40.6432463257,-73.8998397608,POINT (-73.89983835092025 40.64323807948711),31,4009,368930.937178,343640810.866
731,"RIVER RENAL SERVICES, INC",10016,MANHATTAN,106,40.7391058076,-73.9751192557,POINT (-73.97511781569598 40.73909754526689),17,3808,43083.5505189,44952037.8009
732,PHYSICIANS CHOICE SURGICENTER,11414,QUEENS,410,40.6673175031,-73.8517828278,POINT (-73.85178143168427 40.66730925032687),53,4113,111168.400005,172024816.056
733,SHEEPSHEAD NURSING&REHAB CENTER ADHCP,11235,BROOKLYN,315,40.5848413231,-73.9306989523,POINT (-73.93069753518755 40.5848330890934),38,4016,109480.188237,120716882.065
734,"ROCKAWAYS ASC DEVELOPMENT, LLC",11694,QUEENS,414,40.5831443743,-73.8266471145,POINT (-73.8266457308447 40.58313613705818),54,4114,402487.073726,310522670.444
735,BETH ISRAEL MEDICAL CENTER,10002,MANHATTAN,103,40.7183430069,-73.9886358447,POINT (-73.98863440195105 40.71833474871114),18,3809,36351.6176183,48695493.6207
736,SERVICE PROGRAM FOR OLDER PEOPLE INC,10024,MANHATTAN,107,40.7920458435,-73.9760240861,POINT (-73.97602264231401 40.79203757048582),15,3806,47538.4259936,88497862.2383
737,NYSARC INC NEW YORK CITY CHAPTER,11217,BROOKLYN,302,40.6892017393,-73.9791427619,POINT (-73.97914132357438 40.68919348675232),26,4004,73010.0956282,86682052.0213
738,ST VINCENT DEPAUL RESIDENCE,10459,BRONX,202,40.8194607313,-73.8958578424,POINT (-73.89585642280352 40.81945245049528),9,3710,90067.9543636,137760289.541
